feature_elec_0,feature_elec_1,feature_elec_2,feature_elec_3,feature_elec_4,target_elec_5
229.82181818181817,,121.42748091603053,121.12650602409639,,115.06422018348624
,121.42748091603053,121.12650602409639,,115.06422018348624,130.19814814814814
121.42748091603053,121.12650602409639,,115.06422018348624,130.19814814814814,117.46745562130178
121.12650602409639,,115.06422018348624,130.19814814814814,117.46745562130178,126.6237037037037
,115.06422018348624,130.19814814814814,117.46745562130178,126.6237037037037,63.80177514792899
115.06422018348624,130.19814814814814,117.46745562130178,126.6237037037037,63.80177514792899,33.04719764011799
130.19814814814814,117.46745562130178,126.6237037037037,63.80177514792899,33.04719764011799,36.408554572271385
117.46745562130178,126.6237037037037,63.80177514792899,33.04719764011799,36.408554572271385,140.75555555555556
126.6237037037037,63.80177514792899,33.04719764011799,36.408554572271385,140.75555555555556,45.171851851851855
63.80177514792899,33.04719764011799,36.408554572271385,140.75555555555556,45.171851851851855,57.45481481481482
33.04719764011799,36.408554572271385,140.75555555555556,45.171851851851855,57.45481481481482,129.28571428571428
36.408554572271385,140.75555555555556,45.171851851851855,57.45481481481482,129.28571428571428,178.9070796460177
140.75555555555556,45.171851851851855,57.45481481481482,129.28571428571428,178.9070796460177,207.5784023668639
45.171851851851855,57.45481481481482,129.28571428571428,178.9070796460177,207.5784023668639,752.6912850812407
57.45481481481482,129.28571428571428,178.9070796460177,207.5784023668639,752.6912850812407,241.29646017699116
129.28571428571428,178.9070796460177,207.5784023668639,752.6912850812407,241.29646017699116,203.21153846153845
178.9070796460177,207.5784023668639,752.6912850812407,241.29646017699116,203.21153846153845,169.2396449704142
207.5784023668639,752.6912850812407,241.29646017699116,203.21153846153845,169.2396449704142,33.84444444444444
752.6912850812407,241.29646017699116,203.21153846153845,169.2396449704142,33.84444444444444,45.75
241.29646017699116,203.21153846153845,169.2396449704142,33.84444444444444,45.75,133.55803571428572
203.21153846153845,169.2396449704142,33.84444444444444,45.75,133.55803571428572,128.38552437223044
169.2396449704142,33.84444444444444,45.75,133.55803571428572,128.38552437223044,128.1506646971935
33.84444444444444,45.75,133.55803571428572,128.38552437223044,128.1506646971935,128.56065088757396
45.75,133.55803571428572,128.38552437223044,128.1506646971935,128.56065088757396,117.05473372781066
133.55803571428572,128.38552437223044,128.1506646971935,128.56065088757396,117.05473372781066,124.13757396449704
128.38552437223044,128.1506646971935,128.56065088757396,117.05473372781066,124.13757396449704,127.62573964497041
128.1506646971935,128.56065088757396,117.05473372781066,124.13757396449704,127.62573964497041,125.90236686390533
128.56065088757396,117.05473372781066,124.13757396449704,127.62573964497041,125.90236686390533,127.49408284023669
117.05473372781066,124.13757396449704,127.62573964497041,125.90236686390533,127.49408284023669,112.66272189349112
124.13757396449704,127.62573964497041,125.90236686390533,127.49408284023669,112.66272189349112,114.67799113737075
