feature_gas_0,feature_gas_1,feature_gas_2,feature_gas_3,feature_gas_4,target_gas_5
186.0,185.58,184.5,184.0,183.3,183.0
185.58,184.5,184.0,183.3,183.0,182.24489795918367
184.5,184.0,183.3,183.0,182.24489795918367,181.4
184.0,183.3,183.0,182.24489795918367,181.4,181.0
183.3,183.0,182.24489795918367,181.4,181.0,180.7
183.0,182.24489795918367,181.4,181.0,180.7,179.82
182.24489795918367,181.4,181.0,180.7,179.82,179.0
181.4,181.0,180.7,179.82,179.0,179.0
181.0,180.7,179.82,179.0,179.0,178.14
180.7,179.82,179.0,179.0,178.14,342.32
179.82,179.0,179.0,178.14,342.32,362.82
179.0,179.0,178.14,342.32,362.82,361.7755102040816
179.0,178.14,342.32,362.82,361.7755102040816,362.24
178.14,342.32,362.82,361.7755102040816,362.24,362.9791666666667
342.32,362.82,361.7755102040816,362.24,362.9791666666667,361.3673469387755
362.82,361.7755102040816,362.24,362.9791666666667,361.3673469387755,361.7959183673469
361.7755102040816,362.24,362.9791666666667,361.3673469387755,361.7959183673469,353.26
362.24,362.9791666666667,361.3673469387755,361.7959183673469,353.26,362.34
362.9791666666667,361.3673469387755,361.7959183673469,353.26,362.34,346.5
361.3673469387755,361.7959183673469,353.26,362.34,346.5,353.08
361.7959183673469,353.26,362.34,346.5,353.08,331.68
353.26,362.34,346.5,353.08,331.68,304.12
362.34,346.5,353.08,331.68,304.12,284.04
346.5,353.08,331.68,304.12,284.04,267.98
353.08,331.68,304.12,284.04,267.98,254.96
331.68,304.12,284.04,267.98,254.96,244.34
304.12,284.04,267.98,254.96,244.34,234.28125
284.04,267.98,254.96,244.34,234.28125,225.21428571428572
267.98,254.96,244.34,234.28125,225.21428571428572,221.0
254.96,244.34,234.28125,225.21428571428572,221.0,217.11764705882354
244.34,234.28125,225.21428571428572,221.0,217.11764705882354,211.725
234.28125,225.21428571428572,221.0,217.11764705882354,211.725,208.46
225.21428571428572,221.0,217.11764705882354,211.725,208.46,205.2
221.0,217.11764705882354,211.725,208.46,205.2,202.62
217.11764705882354,211.725,208.46,205.2,202.62,200.26530612244898
211.725,208.46,205.2,202.62,200.26530612244898,198.42
208.46,205.2,202.62,200.26530612244898,198.42,195.7
205.2,202.62,200.26530612244898,198.42,195.7,192.40816326530611
202.62,200.26530612244898,198.42,195.7,192.40816326530611,189.32
200.26530612244898,198.42,195.7,192.40816326530611,189.32,187.46
198.42,195.7,192.40816326530611,189.32,187.46,184.73469387755102
195.7,192.40816326530611,189.32,187.46,184.73469387755102,182.32
192.40816326530611,189.32,187.46,184.73469387755102,182.32,182.38
189.32,187.46,184.73469387755102,182.32,182.38,183.82
187.46,184.73469387755102,182.32,182.38,183.82,183.0
184.73469387755102,182.32,182.38,183.82,183.0,181.86
182.32,182.38,183.82,183.0,181.86,180.04
182.38,183.82,183.0,181.86,180.04,179.44
183.82,183.0,181.86,180.04,179.44,180.64
183.0,181.86,180.04,179.44,180.64,181.6
181.86,180.04,179.44,180.64,181.6,182.9795918367347
180.04,179.44,180.64,181.6,182.9795918367347,183.0
179.44,180.64,181.6,182.9795918367347,183.0,183.0
180.64,181.6,182.9795918367347,183.0,183.0,183.0
181.6,182.9795918367347,183.0,183.0,183.0,183.0
182.9795918367347,183.0,183.0,183.0,183.0,183.0
183.0,183.0,183.0,183.0,183.0,182.18
183.0,183.0,183.0,183.0,182.18,181.98
183.0,183.0,183.0,182.18,181.98,181.12244897959184
183.0,183.0,182.18,181.98,181.12244897959184,181.0
183.0,182.18,181.98,181.12244897959184,181.0,181.0
182.18,181.98,181.12244897959184,181.0,181.0,180.24
181.98,181.12244897959184,181.0,181.0,180.24,180.0
181.12244897959184,181.0,181.0,180.24,180.0,180.0
181.0,181.0,180.24,180.0,180.0,180.0
181.0,180.24,180.0,180.0,180.0,180.0
180.24,180.0,180.0,180.0,180.0,180.24
180.0,180.0,180.0,180.0,180.24,180.87755102040816
180.0,180.0,180.0,180.24,180.87755102040816,182.9795918367347
180.0,180.0,180.24,180.87755102040816,182.9795918367347,184.32
180.0,180.24,180.87755102040816,182.9795918367347,184.32,223.3
180.24,180.87755102040816,182.9795918367347,184.32,223.3,372.12
180.87755102040816,182.9795918367347,184.32,223.3,372.12,362.82
182.9795918367347,184.32,223.3,372.12,362.82,360.5208333333333
184.32,223.3,372.12,362.82,360.5208333333333,366.24
223.3,372.12,362.82,360.5208333333333,366.24,363.94
372.12,362.82,360.5208333333333,366.24,363.94,360.72
362.82,360.5208333333333,366.24,363.94,360.72,358.5833333333333
360.5208333333333,366.24,363.94,360.72,358.5833333333333,360.1
366.24,363.94,360.72,358.5833333333333,360.1,382.9795918367347
363.94,360.72,358.5833333333333,360.1,382.9795918367347,382.14285714285717
360.72,358.5833333333333,360.1,382.9795918367347,382.14285714285717,382.46
358.5833333333333,360.1,382.9795918367347,382.14285714285717,382.46,383.0
360.1,382.9795918367347,382.14285714285717,382.46,383.0,377.83673469387753
382.9795918367347,382.14285714285717,382.46,383.0,377.83673469387753,381.94
382.14285714285717,382.46,383.0,377.83673469387753,381.94,378.921568627451
382.46,383.0,377.83673469387753,381.94,378.921568627451,379.2857142857143
383.0,377.83673469387753,381.94,378.921568627451,379.2857142857143,381.64
377.83673469387753,381.94,378.921568627451,379.2857142857143,381.64,381.32
381.94,378.921568627451,379.2857142857143,381.64,381.32,380.34
378.921568627451,379.2857142857143,381.64,381.32,380.34,379.64
379.2857142857143,381.64,381.32,380.34,379.64,382.16
381.64,381.32,380.34,379.64,382.16,382.64
381.32,380.34,379.64,382.16,382.64,380.28
380.34,379.64,382.16,382.64,380.28,380.06
379.64,382.16,382.64,380.28,380.06,383.265306122449
382.16,382.64,380.28,380.06,383.265306122449,380.9
382.64,380.28,380.06,383.265306122449,380.9,380.56
380.28,380.06,383.265306122449,380.9,380.56,381.6530612244898
380.06,383.265306122449,380.9,380.56,381.6530612244898,382.81632653061223
383.265306122449,380.9,380.56,381.6530612244898,382.81632653061223,379.85714285714283
380.9,380.56,381.6530612244898,382.81632653061223,379.85714285714283,383.32
380.56,381.6530612244898,382.81632653061223,379.85714285714283,383.32,381.38
381.6530612244898,382.81632653061223,379.85714285714283,383.32,381.38,366.5
382.81632653061223,379.85714285714283,383.32,381.38,366.5,331.3829787234043
379.85714285714283,383.32,381.38,366.5,331.3829787234043,319.32
383.32,381.38,366.5,331.3829787234043,319.32,293.88
381.38,366.5,331.3829787234043,319.32,293.88,277.48979591836735
366.5,331.3829787234043,319.32,293.88,277.48979591836735,264.6041666666667
331.3829787234043,319.32,293.88,277.48979591836735,264.6041666666667,253.36
319.32,293.88,277.48979591836735,264.6041666666667,253.36,243.72
293.88,277.48979591836735,264.6041666666667,253.36,243.72,235.35416666666666
277.48979591836735,264.6041666666667,253.36,243.72,235.35416666666666,228.48979591836735
264.6041666666667,253.36,243.72,235.35416666666666,228.48979591836735,222.88
253.36,243.72,235.35416666666666,228.48979591836735,222.88,218.28
243.72,235.35416666666666,228.48979591836735,222.88,218.28,214.22916666666666
235.35416666666666,228.48979591836735,222.88,218.28,214.22916666666666,210.4
228.48979591836735,222.88,218.28,214.22916666666666,210.4,207.28
222.88,218.28,214.22916666666666,210.4,207.28,204.28
218.28,214.22916666666666,210.4,207.28,204.28,201.82
214.22916666666666,210.4,207.28,204.28,201.82,199.4
210.4,207.28,204.28,201.82,199.4,197.5625
207.28,204.28,201.82,199.4,197.5625,195.62
204.28,201.82,199.4,197.5625,195.62,193.72
201.82,199.4,197.5625,195.62,193.72,192.54
199.4,197.5625,195.62,193.72,192.54,190.88
197.5625,195.62,193.72,192.54,190.88,189.3673469387755
195.62,193.72,192.54,190.88,189.3673469387755,188.34
193.72,192.54,190.88,189.3673469387755,188.34,187.34
192.54,190.88,189.3673469387755,188.34,187.34,186.02
190.88,189.3673469387755,188.34,187.34,186.02,185.34
189.3673469387755,188.34,187.34,186.02,185.34,184.02
188.34,187.34,186.02,185.34,184.02,183.4
187.34,186.02,185.34,184.02,183.4,182.94
186.02,185.34,184.02,183.4,182.94,181.82
185.34,184.02,183.4,182.94,181.82,181.0
184.02,183.4,182.94,181.82,181.0,180.65714285714284
183.4,182.94,181.82,181.0,180.65714285714284,179.14814814814815
182.94,181.82,181.0,180.65714285714284,179.14814814814815,179.0
181.82,181.0,180.65714285714284,179.14814814814815,179.0,178.74
181.0,180.65714285714284,179.14814814814815,179.0,178.74,178.0
180.65714285714284,179.14814814814815,179.0,178.74,178.0,177.91836734693877
179.14814814814815,179.0,178.74,178.0,177.91836734693877,176.97916666666666
179.0,178.74,178.0,177.91836734693877,176.97916666666666,176.0
178.74,178.0,177.91836734693877,176.97916666666666,176.0,176.0
178.0,177.91836734693877,176.97916666666666,176.0,176.0,175.42
177.91836734693877,176.97916666666666,176.0,176.0,175.42,174.9
176.97916666666666,176.0,176.0,175.42,174.9,174.0
176.0,176.0,175.42,174.9,174.0,174.0
176.0,175.42,174.9,174.0,174.0,174.0
175.42,174.9,174.0,174.0,174.0,173.1219512195122
174.9,174.0,174.0,174.0,173.1219512195122,173.0
174.0,174.0,174.0,173.1219512195122,173.0,173.0
174.0,174.0,173.1219512195122,173.0,173.0,322.62
174.0,173.1219512195122,173.0,173.0,322.62,338.66
173.1219512195122,173.0,173.0,322.62,338.66,349.9387755102041
173.0,173.0,322.62,338.66,349.9387755102041,363.88461538461536
173.0,322.62,338.66,349.9387755102041,363.88461538461536,349.5
322.62,338.66,349.9387755102041,363.88461538461536,349.5,346.58
338.66,349.9387755102041,363.88461538461536,349.5,346.58,346.58
349.9387755102041,363.88461538461536,349.5,346.58,346.58,348.57142857142856
363.88461538461536,349.5,346.58,346.58,348.57142857142856,348.32
349.5,346.58,346.58,348.57142857142856,348.32,351.14
346.58,346.58,348.57142857142856,348.32,351.14,350.12
346.58,348.57142857142856,348.32,351.14,350.12,349.0204081632653
348.57142857142856,348.32,351.14,350.12,349.0204081632653,345.8918918918919
348.32,351.14,350.12,349.0204081632653,345.8918918918919,348.375
351.14,350.12,349.0204081632653,345.8918918918919,348.375,348.5
350.12,349.0204081632653,345.8918918918919,348.375,348.5,352.28
349.0204081632653,345.8918918918919,348.375,348.5,352.28,350.74
345.8918918918919,348.375,348.5,352.28,350.74,347.8
348.375,348.5,352.28,350.74,347.8,349.68
348.5,352.28,350.74,347.8,349.68,351.4166666666667
352.28,350.74,347.8,349.68,351.4166666666667,352.0
350.74,347.8,349.68,351.4166666666667,352.0,345.17857142857144
347.8,349.68,351.4166666666667,352.0,345.17857142857144,352.4736842105263
349.68,351.4166666666667,352.0,345.17857142857144,352.4736842105263,348.46
351.4166666666667,352.0,345.17857142857144,352.4736842105263,348.46,348.66
352.0,345.17857142857144,352.4736842105263,348.46,348.66,350.90909090909093
345.17857142857144,352.4736842105263,348.46,348.66,350.90909090909093,351.95
352.4736842105263,348.46,348.66,350.90909090909093,351.95,351.64864864864865
348.46,348.66,350.90909090909093,351.95,351.64864864864865,352.25
348.66,350.90909090909093,351.95,351.64864864864865,352.25,354.44897959183675
350.90909090909093,351.95,351.64864864864865,352.25,354.44897959183675,349.6875
351.95,351.64864864864865,352.25,354.44897959183675,349.6875,349.46
351.64864864864865,352.25,354.44897959183675,349.6875,349.46,351.54
352.25,354.44897959183675,349.6875,349.46,351.54,386.0816326530612
354.44897959183675,349.6875,349.46,351.54,386.0816326530612,402.84
349.6875,349.46,351.54,386.0816326530612,402.84,408.52
